unique_id,company_name,normalized_company_name,normalized_registered_address,legal_representative,unified_social_credit_code
R001,深圳华星科技有限公司,深圳华星科技有限公司,深圳市南山区科技园A栋101,李明,91440300EVAL000001
R002,深圳华兴科技有限公司,深圳华兴科技有限公司,深圳市南山区科技园A栋102,王强,91440300EVAL000002
R003,深圳海蓝数据有限公司,深圳海蓝数据有限公司,深圳市福田区深南大道100号,陈洁,91440300EVAL000003
R004,广州云帆智能科技有限公司,广州云帆智能科技有限公司,广州市天河区科韵路88号,周涛,91440100EVAL000004
R005,北京星河软件有限公司,北京星河软件有限公司,北京市海淀区中关村大街10号,赵磊,91110100EVAL000005
R006,上海智芯电子有限公司,上海智芯电子有限公司,上海市浦东新区张江路66号,孙悦,91310100EVAL000006
R007,杭州远景网络有限公司,杭州远景网络有限公司,杭州市西湖区文三路200号,吴桐,91330100EVAL000007
R008,苏州启明制造有限公司,苏州启明制造有限公司,苏州市工业园区星湖街99号,郑凯,91320500EVAL000008
R009,成都天府信息技术有限公司,成都天府信息技术有限公司,成都市高新区天府大道500号,刘洋,91510100EVAL000009
R010,武汉楚云数字科技有限公司,武汉楚云数字科技有限公司,武汉市洪山区光谷大道77号,何静,91420100EVAL000010
R011,西安秦科能源有限公司,西安秦科能源有限公司,西安市高新区锦业路30号,高峰,91610100EVAL000011
R012,南京宁智物联科技有限公司,南京宁智物联科技有限公司,南京市雨花台区软件大道168号,胡宁,91320100EVAL000012
