source_company_id,company_name,unified_social_credit_code,legal_representative,registered_address
EVAL-001,深圳星云科技发展有限公司,91440300MA000001X,张华,广东省深圳市南山区科技园科苑路1号
EVAL-002,广州青禾智能科技有限公司,,李敏,广东省广州市黄埔区科学大道88号
EVAL-003,武汉蓝图装备有限公司,,王强,湖北省武汉市东湖高新区光谷大道99号A座
EVAL-004,杭州云帆数据技术有限公司,,陈晨,浙江省杭州市余杭区文一西路100号
EVAL-005,上海海岳生物科技股份有限公司,,赵宁,上海市浦东新区张江路66号
EVAL-006,广州青禾智能技术有限公司,,李晓敏,广东省广州市黄埔区科学大道88号A座
EVAL-007,苏州晨曦新能源有限公司,,周磊,江苏省苏州市工业园区星湖街218号
EVAL-008,深圳星云网络科技有限公司,,张伟,广东省深圳市福田区深南大道1000号
EVAL-009,北京北辰文化传媒有限公司,,何峰,北京市朝阳区建国路10号
EVAL-010,成都华科智能设备有限公司,,刘阳,四川省成都市高新区天府大道中段500号A座
EVAL-011,南京远景物流有限公司,,孙杰,江苏省南京市江北新区浦滨路150号
EVAL-012,南京远景网络科技有限公司,,孙强,江苏省南京市玄武区珠江路1号
