lease_id,source_company_id,company_name,contract_start,contract_end,rent_amount,payment_due_date,payment_date,lease_status
L-001,LEASE-C001,深圳星云科技有限公司,2025-01-01,2025-12-31,50000,2025-01-05,2025-01-04,ACTIVE
L-002,LEASE-C001,深圳星云科技有限公司,2025-01-01,2025-12-31,50000,2025-02-05,2025-02-07,ACTIVE
L-003,LEASE-C001,深圳星云科技有限公司,2025-01-01,2025-12-31,50000,2025-03-05,2025-03-05,ACTIVE
L-004,LEASE-C002,广州青禾智能,2025-01-01,2025-12-31,42000,2025-01-05,2025-01-05,ACTIVE
L-005,LEASE-C002,广州青禾智能,2025-01-01,2025-12-31,42000,2025-02-05,2025-02-05,ACTIVE
L-006,LEASE-C002,广州青禾智能,2025-01-01,2025-12-31,42000,2025-03-05,2025-03-18,ACTIVE
L-007,LEASE-C003,武汉蓝图装备制造有限公司,2025-01-01,2025-12-31,68000,2025-01-05,2025-01-03,ACTIVE
L-008,LEASE-C003,武汉蓝图装备制造有限公司,2025-01-01,2025-12-31,68000,2025-02-05,2025-02-03,ACTIVE
L-009,LEASE-C004,杭州云帆数据科技有限公司,2025-02-20,2026-02-19,36000,2025-03-05,2025-03-05,ACTIVE
L-010,LEASE-C005,海岳生物,2025-01-01,2025-12-31,55000,2025-01-05,,ACTIVE
